WATERBODY_IDENTIFIER,GAZETTED_NAME,Requested Location (Alias),AREA_HA,PERIMETER_M,ELEVATION_M,LONGITUDE,LATITUDE,DD5,MAP,DD5_01,DD5_02,DD5_03,DD5_04,DD5_05,DD5_06,DD5_07,DD5_08,DD5_09,DD5_10,DD5_11,DD5_12,CountOfSPECIES_NAME,Fishery Objective,Region,assessed_wbid,ID
00400SMAR,ROCKBLUFF LAKE,ROCKBLUFF(QUARTZ),18.56539774,3427.9442,944,-115.6429456,49.89199911,1566,489,2,6,23,68,168,282,383,367,197,59,9,2,4,Family,4E,,526
00651KHOR,ROCKY POINT LAKE,ROCKY POINT,26.16507514,3095.5696,1442,-116.7674346,51.01386702,968,846,1,3,10,27,81,178,267,254,117,27,3,1,1,Regional,4E,,527
00214BULL,ROSEN LAKE,ROSEN,49.28375259,5249.9019,864,-115.2566302,49.39957569,1619,550,3,9,26,73,170,280,387,376,208,72,12,3,6,Unknown,4E,,528
00921KOTL,,RYAN PARK,1.14198471,399.9856,887,-116.0326497,49.13122994,1617,687,3,9,27,73,170,276,383,375,213,71,14,4,2,Regional,4E,,529
00398COLR,,SAM'S FOLLY(SAM'S FOLLIES),7.80132727,1931.0507,1044,-116.2625497,50.66580069,1346,512,1,4,17,54,142,251,339,325,161,46,6,1,2,Regional,4E,00398COLR,530
00467BULL,,SEVEN MILE,0.81498048,336.7481,1144,-115.5759778,49.13869585,1398,700,2,7,19,55,133,241,348,341,183,56,9,3,1,Regional,4E,,531
00381ELKR,SILVER SPRING LAKE,SILVER SPRING #1,4.77969964,1341.4064,1017,-115.0744789,49.29671457,1470,793,2,7,21,56,146,256,363,354,190,61,11,3,4,Regional,4E,,532
00388ELKR,,SILVER SPRING #2,3.37704326,1092.9001,1016,-115.076256,49.28677604,1474,811,2,7,20,56,146,257,364,355,191,62,11,3,2,Regional,4E,,533
00812SMAR,,SOLAR(STONEY POTHOLE),3.25993653,808.0766,915,-115.8216279,49.76087175,1598,440,2,7,23,70,171,283,391,373,203,63,10,2,2,Regional,4E,,534
00186BULL,,SPRING,5.46079049,1109.0069,851,-115.35797,49.41766373,1636,522,3,8,27,76,174,283,391,377,210,71,12,3,3,Family,4E,,535
00805COLR,,SPURR(BRADY),4.52789851,877.2809,1160,-115.918313,50.2664371,1320,475,1,4,15,46,131,242,340,324,164,45,6,2,1,Regional,4E,,536
00258COLR,STEAMBOAT LAKE,STEAMBOAT,2.57573602,776.1263,1138,-116.2925499,50.74810934,1231,587,1,3,14,46,123,231,319,300,147,41,5,1,1,Regional,4E,00258COLR,537
00833SMAR,HAHAS LAKE,STONEY,54.36284081,7015.6828,900,-115.8240762,49.74582914,1610,438,2,7,24,72,173,285,393,374,204,64,10,3,2,Family,4E,,538
00600CLRH,SUSAN LAKE,SUSAN,44.98905104,3753.5119,1529,-117.3968878,51.56928737,915,1116,1,3,8,23,75,160,256,248,112,24,3,1,2,Quality,4E,,539
00313BULL,SUZANNE LAKE,SUZANNE(MANISTEE),48.86824668,3899.8778,815,-115.239666,49.32111421,1703,535,3,9,28,82,185,295,404,388,217,75,13,4,5,Regional,4E,,540
00768SMAR,TA TA LAKE,TA TA,9.84718014,1212.1055,903,-115.8235389,49.78650282,1580,440,2,7,24,71,166,279,388,368,202,62,10,2,4,Regional,4E,,541
